RV20, BB20016.msf, tcoffee, 0.754, 0.020, clustalw, 0.718, 0.010, muscle, 0.723, 0.010
RV20, BB20017.msf, tcoffee, 0.947, 0.530, clustalw, 0.919, 0.430, muscle, 0.942, 0.530
RV20, BB20018.msf, tcoffee, 0.964, 0.670, clustalw, 0.947, 0.630, muscle, 0.963, 0.680
RV20, BB20019.msf, tcoffee, 0.835, 0.110, clustalw, 0.801, 0.080, muscle, 0.820, 0.080
RV20, BB20020.msf, tcoffee, 0.896, 0.650, clustalw, 0.824, 0.420, muscle, 0.870, 0.590
RV20, BB20021.msf, tcoffee, 0.909, 0.250, clustalw, 0.877, 0.120, muscle, 0.900, 0.200
RV20, BB20022.msf, tcoffee, 0.892, 0.320, clustalw, 0.751, 0.040, muscle, 0.861, 0.300
RV20, BB20023.msf, tcoffee, 0.861, 0.300, clustalw, 0.874, 0.430, muscle, 0.855, 0.190
RV20, BB20024.msf, tcoffee, 0.548, 0.490, clustalw, 0.534, 0.480, muscle, 0.524, 0.480
RV20, BB20025.msf, tcoffee, 0.938, 0.400, clustalw, 0.898, 0.060, muscle, 0.911, 0.070
RV20, BB20026.msf, tcoffee, 0.826, 0.310, clustalw, 0.707, 0.310, muscle, 0.815, 0.260
RV20, BB20027.msf, tcoffee, 0.835, 0.470, clustalw, 0.746, 0.000, muscle, 0.804, 0.410
RV20, BB20028.msf, tcoffee, 0.980, 0.700, clustalw, 0.955, 0.540, muscle, 0.972, 0.650
RV20, BB20029.msf, tcoffee, 0.835, 0.040, clustalw, 0.811, 0.040, muscle, 0.796, 0.040
RV20, BB20030.msf, tcoffee, 0.900, 0.120, clustalw, 0.910, 0.110, muscle, 0.927, 0.240
RV20, BB20031.msf, tcoffee, 0.894, 0.120, clustalw, 0.796, 0.110, muscle, 0.878, 0.110
RV20, BB20032.msf, tcoffee, 0.921, 0.180, clustalw, 0.918, 0.050, muscle, 0.922, 0.100
RV20, BB20033.msf, tcoffee, 0.933, 0.270, clustalw, 0.920, 0.310, muscle, 0.938, 0.330
RV20, BB20034.msf, tcoffee, 0.886, 0.170, clustalw, 0.741, 0.000, muscle, 0.865, 0.210
RV20, BB20035.msf, tcoffee, 0.851, 0.160, clustalw, 0.817, 0.040, muscle, 0.844, 0.120
